	Anchor 1	Anchor 2	Alternative 1.1	Alternative 1.2	Correct Alternative	ID	# Votes out of 5 for Correct Alternative	style type
10	"Layout managers are software components used in widget toolkits which have the ability to lay out graphical control elements by their relative positions without using distance units
"	"Layout managers are software components used in widget toolkits which have the ability to lay out graphical the control elements by their relative positions without using distance units
"	"The Biophysical Journal is a peer-reviewed scientific journal published by Cell Press on behalf of the Biophysical Society
"	"The Biophysical Journal is a peer-reviewed scientific journal published by Cell Press on the behalf of the Biophysical Society
"	1	QQ_sae-10-definite-abstract-10_sae-110-definite-abstract-110--0	-	definite-abstract
11	"The term postback has two meanings, depending on the context: one in the relation to eCommerce as a web service, and another in the relation to web development.
"	"The term postback has two meanings, depending on the context: one in relation to eCommerce as a web service, and another in relation to web development.
"	"Activities including raising and approving purchase orders, selecting and ordering the product or service, receiving and matching the invoice and order, and paying the bill is handled electronically, enabling the procurement department to see everything that is ordered, ensure that nothing can be ordered without correct approvals, and lets them get the best value by combining several orders for the same type of good or even getting suppliers to bid for the business.
"	"Activities including raising and approving purchase orders, selecting and ordering the product or the service, receiving and matching the invoice and order, and paying the bill is handled electronically, enabling the the procurement department to see everything that is ordered, ensure that the nothing can be ordered without correct approvals, and lets them get the best value by combining several orders for the same type of good or even getting suppliers to bid for the business.
"	2	QQ_definite-abstract-11-sae-11_sae-111-definite-abstract-111--1	-	definite-abstract
12	"It was the first common draft with the AFL, part of the AFL–NFL the merger agreement of June 1966.
"	"It was the first common draft with the AFL, part of the AFL–NFL merger agreement of June 1966.
"	"<LOL> is the the debut studio album by Polish pop group Blog 27, released in Poland in 2005 and internationally in 2006.
"	"<LOL> is the debut studio album by Polish pop group Blog 27, released in Poland in 2005 and internationally in 2006.
"	1	QQ_definite-abstract-12-sae-12_definite-abstract-112-sae-112--0	-	definite-abstract
13	"The Ferrier Lecture is a Royal Society lectureship given every three years ""on a subject related to the advancement of natural knowledge on the structure and the function of the nervous system""
"	"The Ferrier Lecture is a Royal Society lectureship given every three years ""on a subject related to the advancement of natural knowledge on the structure and function of the nervous system""
"	"""East 1999"" is Bone Thugs-n-Harmony's second single released in 1995 from their album The E
"	"""East 1999"" is Bone Thugs-n-Harmony's second single released in 1995 from their album E
"	1	QQ_definite-abstract-13-sae-13_definite-abstract-113-sae-113--0	-	definite-abstract
14	"The Joint Center for Housing Studies  of Harvard University advances the understanding of housing issues and informs policy
"	"The Joint Center for Housing Studies  of Harvard University advances understanding of housing issues and informs policy
"	"Procurement software is business software that helps to automate the purchasing function of organizations
"	"The Procurement software is business software that helps to automate the purchasing function of organizations
"	2	QQ_definite-abstract-14-sae-14_sae-114-definite-abstract-114--1	-	definite-abstract
15	"The Treaty of Joinville was signed in secret on 31 December 1584 by the Catholic League, led by France's first family of Catholic nobles, the House of Guise, and Habsburg Spain.
"	"The Treaty of Joinville was signed in the secret on 31 December 1584 by the Catholic League, led by France's first family of Catholic nobles, the House of Guise, and Habsburg Spain.
"	" Stagnation events strongly correlates with poor air quality.
"	" The Stagnation events strongly correlates with poor air quality.
"	1	QQ_sae-15-definite-abstract-15_sae-115-definite-abstract-115--0	-	definite-abstract
16	"The Generation ""П"" is the third novel by Russian author Victor Pelevin
"	"Generation ""П"" is the third novel by Russian author Victor Pelevin
"	"Tracks Ahead is a television series about railroading, produced by Milwaukee PBS, originally solely for their station WMVS, then syndicated to public television stations, starting in 1990.
"	"Tracks Ahead is a television series about the railroading, produced by Milwaukee PBS, originally solely for their station WMVS, then syndicated to public television stations, starting in 1990.
"	2	QQ_definite-abstract-16-sae-16_sae-116-definite-abstract-116--1	-	definite-abstract
17	"Instigator is the the debut album by Pop and R&B singer Kaci Brown
"	"Instigator is the debut album by Pop and R&B singer Kaci Brown
"	"Lisa Hark is a nutritionist, and the diet and the lifestyle consultant presenter for the American version of the BBC television series, Honey, We're Killing the Kids.
"	"Lisa Hark is a nutritionist, and the diet and lifestyle consultant presenter for the American version of the BBC television series, Honey, We're Killing the Kids.
"	1	QQ_definite-abstract-17-sae-17_definite-abstract-117-sae-117--0	-	definite-abstract
18	"Viana is a town and municipality located in the province and  autonomous community of Navarre, northern Spain
"	"Viana is a town and the municipality located in the province and  autonomous community of Navarre, northern Spain
"	"tempuri.org is the test default namespace URI used by Microsoft development products, like Visual Studio.
"	"tempuri.org is the test default namespace URI used by Microsoft the development products, like Visual Studio.
"	1	QQ_sae-18-definite-abstract-18_sae-118-definite-abstract-118--0	-	definite-abstract
19	"Virtual war signifies the increased use of and the dependence on technology in the course of warfare
"	"Virtual war signifies the increased use of and dependence on technology in the course of warfare
"	"The Swiftsure class battleships of the late Victorian era were broadside ironclads designed and built specifically for the service as Flagships on the Pacific station.
"	"The Swiftsure class battleships of the late Victorian era were broadside ironclads designed and built specifically for service as Flagships on the Pacific station.
"	1	QQ_definite-abstract-19-sae-19_definite-abstract-119-sae-119--0	-	definite-abstract
20	"A the language council, also known as a the language regulator or a the language academy, is an organisation that regulates a language
"	"A language council, also known as a language regulator or a language academy, is an organisation that regulates a language
"	"Originally formed on the model of the British Labour Party from trade unions and being especially dominated by railway workers, it formed the main opposition party from 1934 to 1946.
"	"Originally formed on the model of the British Labour Party from trade unions and being especially dominated by railway workers, it formed the main the opposition party from 1934 to 1946.
"	2	QQ_definite-abstract-20-sae-20_sae-120-definite-abstract-120--1	-	definite-abstract
21	"The Buran cruise missile, the designation RSS-40, was a Soviet intercontinental cruise missile by Myasishchev capable of carrying a 3,500 kg hydrogen bomb payloadhttps://books.google.
"	"The Buran cruise missile, designation RSS-40, was a Soviet intercontinental cruise missile by Myasishchev capable of carrying a 3,500 kg hydrogen bomb payloadhttps://books.google.
"	"Smokey is the the debut studio album by American the soul singer, songwriter, and producer Smokey Robinson
"	"Smokey is the debut studio album by American soul singer, songwriter, and producer Smokey Robinson
"	1	QQ_definite-abstract-21-sae-21_definite-abstract-121-sae-121--0	-	definite-abstract
22	"The Consolation payments is payment given to relatives of civilians who have died accidentally.
"	"Consolation payments is payment given to relatives of civilians who have died accidentally.
"	"Teletype Corporation, of Skokie, Illinois, was responsible for the research, development and manufacture of data and record communications equipment, but it is primarily remembered for the manufacture of electromechanical teleprinters.
"	"Teletype Corporation, of Skokie, Illinois, was responsible for the research, the development and manufacture of data and record communications equipment, but it is primarily remembered for the manufacture of electromechanical teleprinters.
"	2	QQ_definite-abstract-22-sae-22_sae-122-definite-abstract-122--1	-	definite-abstract
23	"Of all its former routes, only one, the Tokyo Sakura Tram, remains in service.
"	"Of all its former routes, only one, the Tokyo Sakura Tram, remains in the service.
"	"The Equity capital is raised in many ways; the major types of the equity capital are unlisted equity, listed the equity and hybrids
"	"Equity capital is raised in many ways; the major types of equity capital are unlisted equity, listed equity and hybrids
"	2	QQ_sae-23-definite-abstract-23_definite-abstract-123-sae-123--1	-	definite-abstract
24	"50 Minute Technicolor Dream is a compilation of mostly previously unreleased recordings by Tomorrow
"	"50 Minute Technicolor Dream is a compilation of mostly previously unreleased recordings by The Tomorrow
"	"Curl or bend in association football is spin on the ball which will make it change direction, called a 'screw shot' in the 19th century
"	"Curl or bend in the association football is spin on the ball which will make it change direction, called a 'screw shot' in the 19th century
"	1	QQ_sae-24-definite-abstract-24_sae-124-definite-abstract-124--0	-	definite-abstract
25	"The later decision of the government of Ramsay MacDonald to suspend the prosecution of the case ostensibly due to pressure from backbenchers in his Labour Party proved instrumental in bringing down the short-lived first Labour government.
"	"The later decision of the government of Ramsay MacDonald to suspend prosecution of the case ostensibly due to pressure from backbenchers in his Labour Party proved instrumental in bringing down the short-lived first Labour government.
"	"Shilp Guru is an award conferred by Government of India every year to the master craftspersons in innovating different styles and designs of the traditional craftsmanship, to continue with the highest level of aesthetic character, the quality and the skill in the traditional Indian Handicrafts .
"	"Shilp Guru is an award conferred by Government of India every year to the master craftspersons in innovating different styles and designs of the traditional craftsmanship, to continue with the highest level of aesthetic character, quality and skill in the traditional Indian Handicrafts .
"	1	QQ_definite-abstract-25-sae-25_definite-abstract-125-sae-125--0	-	definite-abstract
26	"Anti-Indian sentiment or Indophobia refers to negative feelings and the hatred towards India, Indians, and Indian culture
"	"Anti-Indian sentiment or Indophobia refers to negative feelings and hatred towards India, Indians, and Indian culture
"	"Vacuum flanges are used for scientific and industrial applications to allow various pieces of equipment to interact via physical connections and for vacuum maintenance, monitoring, and the manipulation from outside a vacuum's chamber.
"	"Vacuum flanges are used for scientific and industrial applications to allow various pieces of equipment to interact via physical connections and for vacuum maintenance, monitoring, and manipulation from outside a vacuum's chamber.
"	1	QQ_definite-abstract-26-sae-26_definite-abstract-126-sae-126--0	-	definite-abstract
27	"Split Habit was a power pop band founded in Lemont, Illinois in 1997.
"	"Split Habit was a the power pop band founded in Lemont, Illinois in 1997.
"	" Five, Seven and Twelve the horsepower models are known to have been produced with the Twelve the horsepower model using an American Mason engine.
"	" Five, Seven and Twelve horsepower models are known to have been produced with the Twelve horsepower model using an American Mason engine.
"	2	QQ_sae-27-definite-abstract-27_definite-abstract-127-sae-127--1	-	definite-abstract
28	"Across Indiana is a weekly 30-minute-long television program which covers places, people, history and culture across Indiana.
"	"Across Indiana is a weekly 30-minute-long television program which covers places, people, history and the culture across Indiana.
"	"The character is based on the mythical deity in Slavic mythology, with the control over thunder and lightning similar to that of the Norse god Thor.
"	"The character is based on the mythical deity in Slavic mythology, with control over thunder and lightning similar to that of the Norse god Thor.
"	2	QQ_sae-28-definite-abstract-28_definite-abstract-128-sae-128--1	-	definite-abstract
29	"The National Center for Reason and Justice is a United States national non-profit organization disseminating information to the public about claims of injustice in the current criminal justice system and facilitating financial and legal assistance for people the organization considers likely to have been falsely accused or wrongfully convicted.
"	"The National Center for Reason and Justice is a United States national non-profit organization disseminating information to the public about claims of the injustice in the current criminal justice system and facilitating financial and legal assistance for people the organization considers likely to have been falsely accused or wrongfully convicted.
"	"A former journalist and technologist, he has garnered acclaim for his work in both fiction and narrative nonfiction.
"	"A former journalist and technologist, he has garnered the acclaim for his work in both fiction and narrative nonfiction.
"	1	QQ_sae-29-definite-abstract-29_sae-129-definite-abstract-129--0	-	definite-abstract
30	"This show often makes references to sensitive issues such as culture shock and racial discrimination.
"	"This show often makes references to sensitive issues such as the culture shock and racial discrimination.
"	"This article is a chronological listing of allegations of meetings between members of al-Qaeda and members of Saddam Hussein's government, as well as other information relevant to the conspiracy theories involving Saddam Hussein and al-Qaeda.
"	"This article is a chronological listing of allegations of meetings between members of al-Qaeda and members of Saddam Hussein's government, as well as other information relevant to conspiracy theories involving Saddam Hussein and al-Qaeda.
"	2	QQ_sae-30-definite-abstract-30_definite-abstract-130-sae-130--1	-	definite-abstract
31	"The third eye is a spiritual concept associated with the enlightenment and direct communication with a higher plane of the existence.
"	"The third eye is a spiritual concept associated with enlightenment and direct communication with a higher plane of existence.
"	"She served as a member of the Legislative Assembly of Alberta from 1997 to 2001 sitting with the Liberal caucus and later as an Independent in opposition.
"	"She served as a member of the Legislative Assembly of Alberta from 1997 to 2001 sitting with the Liberal caucus and later as an Independent in the opposition.
"	2	QQ_definite-abstract-31-sae-31_sae-131-definite-abstract-131--1	-	definite-abstract
32	"""Thuggish Ruggish Bone"" is the debut single by American hip hop group Bone Thugs-n-Harmony, from their the debut EP Creepin on ah Come Up
"	"""Thuggish Ruggish Bone"" is the debut single by American hip hop group Bone Thugs-n-Harmony, from their debut EP Creepin on ah Come Up
"	" With the effect from 1 December 1999, the Central East African Railways consortium led by Railroad Development Corporation won the right to operate the network.
"	" With effect from 1 December 1999, the Central East African Railways consortium led by Railroad Development Corporation won the right to operate the network.
"	1	QQ_definite-abstract-32-sae-32_definite-abstract-132-sae-132--0	-	definite-abstract
33	"""The Reaper's Image"" is a the horror story by American writer Stephen King, first published in Startling Mystery Stories in 1969 and collected in Skeleton Crew in 1985
"	"""The Reaper's Image"" is a horror story by American writer Stephen King, first published in Startling Mystery Stories in 1969 and collected in Skeleton Crew in 1985
"	"The Bennelong Society was a conservative think-tank dedicated to Indigenous Australian affairs
"	"The Bennelong Society was a conservative the think-tank dedicated to Indigenous Australian affairs
"	2	QQ_definite-abstract-33-sae-33_sae-133-definite-abstract-133--1	-	definite-abstract
34	"They are, in order of development:
"	"They are, in order of the development:
"	"Abandoning the conventional aim of preventing all intrusions, the intrusion tolerance instead calls for triggering mechanisms that prevent intrusions from leading to a system security failure.
"	"Abandoning the conventional aim of preventing all intrusions, intrusion tolerance instead calls for triggering mechanisms that prevent intrusions from leading to a system security failure.
"	2	QQ_sae-34-definite-abstract-34_definite-abstract-134-sae-134--1	-	definite-abstract
35	"Valerie Sherrard is a Canadian author of books for children and young adults including the novels The Glory Wind, Kate, Speechless, and the Shelby Belgarden mystery series.
"	"Valerie Sherrard is a Canadian author of books for children and young adults including the novels The Glory Wind, Kate, Speechless, and the Shelby Belgarden the mystery series.
"	"It originated from the Old High German verb wîgan, meaning to fight, through the past participle form wîgant, meaning the fighter.
"	"It originated from the Old High German verb wîgan, meaning to fight, through the past the participle form wîgant, meaning the fighter.
"	1	QQ_sae-35-definite-abstract-35_sae-135-definite-abstract-135--0	-	definite-abstract
36	"A Mandroid is a fictional suit of the power armor appearing in American comic books published by Marvel Comics.
"	"A Mandroid is a fictional suit of power armor appearing in American comic books published by Marvel Comics.
"	"H
"	"The H
"	2	QQ_definite-abstract-36-sae-36_sae-136-definite-abstract-136--1	-	definite-abstract
37	"Broken is a fantasy novel by written by Kelley Armstrong
"	"Broken is a the fantasy novel by written by Kelley Armstrong
"	"The Lausanne Football and Cricket Club was a Swiss the association football and cricket club.
"	"The Lausanne Football and Cricket Club was a Swiss association football and cricket club.
"	2	QQ_sae-37-definite-abstract-37_definite-abstract-137-sae-137--1	-	definite-abstract
38	" Instead, processes voluntarily yield the control periodically or when idle or logically blocked in order to enable multiple applications to be run concurrently.
"	" Instead, processes voluntarily yield control periodically or when idle or logically blocked in order to enable multiple applications to be run concurrently.
"	"It was released in 2001 by Andmoresound and in 2002 by Elefant, then the re-released in 2004 by Merge.
"	"It was released in 2001 by Andmoresound and in 2002 by Elefant, then re-released in 2004 by Merge.
"	1	QQ_definite-abstract-38-sae-38_definite-abstract-138-sae-138--0	-	definite-abstract
39	"Paddy is a brand of blended Irish whiskey produced by Irish Distillers, at the Midleton distillery in County Cork, on behalf of Sazerac, a privately held American company
"	"Paddy is a brand of blended Irish whiskey produced by Irish Distillers, at the Midleton distillery in County Cork, on the behalf of Sazerac, a privately held American company
"	"He has been responsible for the direction, technical support and the supervision for restoration and the conservation of more than thirty monuments and excavated remains of the Islamic, Buddhist and Proto-historic periods, in Punjab, Khyber-Pakhtunkhwa and Gilgit-Baltistan of Pakistan.
"	"He has been responsible for the direction, technical support and supervision for restoration and conservation of more than thirty monuments and excavated remains of the Islamic, Buddhist and Proto-historic periods, in Punjab, Khyber-Pakhtunkhwa and Gilgit-Baltistan of Pakistan.
"	2	QQ_sae-39-definite-abstract-39_definite-abstract-139-sae-139--1	-	definite-abstract
40	"was a popular Japanese the variety show, shown on Fuji TV
"	"was a popular Japanese variety show, shown on Fuji TV
"	"118 118 is a directory assistance services provider in Sweden both in operator based services as well as in interactive SMS based services
"	"118 118 is a directory the assistance services provider in Sweden both in operator based services as well as in interactive SMS based services
"	2	QQ_definite-abstract-40-sae-40_sae-140-definite-abstract-140--1	-	definite-abstract
41	"WPHM is a News/Talk/Sports radio station licensed to Port Huron, Michigan at 1380 kHz on the AM dial, with a the power output of 5,000 watts
"	"WPHM is a News/Talk/Sports radio station licensed to Port Huron, Michigan at 1380 kHz on the AM dial, with a power output of 5,000 watts
"	"Dionysus was a Swedish/German power metal band formed in 1999 by Sinergy drummer Ronny Milianowicz and disbanded in 2008.
"	"Dionysus was a Swedish/German the power metal band formed in 1999 by Sinergy drummer Ronny Milianowicz and disbanded in 2008.
"	2	QQ_definite-abstract-41-sae-41_sae-141-definite-abstract-141--1	-	definite-abstract
42	" It has operated under various the marketing names, including Devil Cat, The Cat, The Lynx, and now The T&T Express.
"	" It has operated under various marketing names, including Devil Cat, The Cat, The Lynx, and now The T&T Express.
"	"Deus ex machina is a Latin term meaning ""god from a device"", and is used to indicate a person or event which provides a sudden, unexpected solution to a story.
"	"Deus ex machina is a Latin term meaning ""the god from a device"", and is used to indicate a person or event which provides a sudden, unexpected solution to a story.
"	2	QQ_definite-abstract-42-sae-42_sae-142-definite-abstract-142--1	-	definite-abstract
43	"An example is the door the safety system used on garage door openers that use a light transmitter and receiver at the bottom of the door to prevent closing if there is any obstruction in the way that breaks the light beam.
"	"An example is the door safety system used on garage door openers that use a light transmitter and receiver at the bottom of the door to prevent closing if there is any obstruction in the way that breaks the light beam.
"	"This can affect people who face little or no chronic problems with standing, as well as those who do, such as mobility aid users.
"	"This can affect people who face little or no chronic problems with standing, as well as those who do, such as the mobility aid users.
"	2	QQ_definite-abstract-43-sae-43_sae-143-definite-abstract-143--1	-	definite-abstract
44	" The term folk music can not be easily defined in a precise manner; it is used with widely varying definitions depending on the author, intended audience and the context within a work.
"	" The term folk music can not be easily defined in a precise manner; it is used with widely varying definitions depending on the author, intended audience and context within a work.
"	"Her stage name in Japan is , and is used in nearly all of her appearances in the drama and film.
"	"Her stage name in Japan is , and is used in nearly all of her appearances in drama and film.
"	1	QQ_definite-abstract-44-sae-44_definite-abstract-144-sae-144--0	-	definite-abstract
45	"Scouting in Palau is in a state of development and growth
"	"Scouting in Palau is in a state of the development and growth
"	"It is the one of the three sacraments of the initiation into the Catholic Church, the other two being Baptism and Holy Communion.
"	"It is the one of the three sacraments of initiation into the Catholic Church, the other two being Baptism and Holy Communion.
"	2	QQ_sae-45-definite-abstract-45_definite-abstract-145-sae-145--1	-	definite-abstract
46	"Refined Printing Command Stream, also known as RPCS, is a vector-basedZenographics Zx-protocol comparison and overview printing/duplicating the control protocol, designed for communication between Microsoft Windows PC clients, and several lines of Ricoh copiers
"	"Refined Printing Command Stream, also known as RPCS, is a vector-basedZenographics Zx-protocol comparison and overview printing/duplicating control protocol, designed for communication between Microsoft Windows PC clients, and several lines of Ricoh copiers
"	"Carlos Santana pays homage to Brazilian singer, Elis Regina.
"	"Carlos Santana pays the homage to Brazilian singer, Elis Regina.
"	2	QQ_definite-abstract-46-sae-46_sae-146-definite-abstract-146--1	-	definite-abstract
47	"The moving magnet and conductor problem is a famous thought experiment, originating in the 19th century, concerning the intersection of classical electromagnetism and special relativity
"	"The moving magnet and conductor problem is a famous the thought experiment, originating in the 19th century, concerning the intersection of classical electromagnetism and special relativity
"	"A joint session or joint convention is, most broadly, when two normally separate decision-making groups meet together, often in a special session or other extraordinary meeting, for a specific purpose.
"	"A joint session or joint convention is, most broadly, when two normally separate the decision-making groups meet together, often in a special session or other extraordinary meeting, for a specific purpose.
"	1	QQ_sae-47-definite-abstract-47_sae-147-definite-abstract-147--0	-	definite-abstract
48	"FAST – Fighting Antisemitism Together, is a Canadian human rights activist group which opposes antisemitism and all intolerance
"	"FAST – Fighting The Antisemitism Together, is a Canadian human rights activist group which opposes the antisemitism and all intolerance
"	"In it, the current in a conductor moving with constant velocity, v, with respect to a magnet is calculated in the frame of reference of the magnet and in the frame of reference of the conductor.
"	"In it, the current in a conductor moving with constant velocity, v, with the respect to a magnet is calculated in the frame of the reference of the magnet and in the frame of the reference of the conductor.
"	1	QQ_sae-48-definite-abstract-48_sae-148-definite-abstract-148--0	-	definite-abstract
49	" It was powered by a 348 cc single-cylinder Precision engine and was fitted with a two-speed Burman gearbox with chain for its final-drive.
"	" It was powered by a 348 cc single-cylinder The Precision engine and was fitted with a two-speed Burman gearbox with chain for its final-drive.
"	" The term folk music can not be easily defined in a precise manner; it is used with widely varying definitions depending on the author, intended audience and the context within a work.
"	" The term folk music can not be easily defined in a precise manner; it is used with widely varying definitions depending on the author, intended audience and context within a work.
"	2	QQ_sae-49-definite-abstract-49_definite-abstract-149-sae-149--1	-	definite-abstract
50	"The Leeuwenhoek Lecture is a prize lecture of the Royal Society to recognize the achievement in microbiology
"	"The Leeuwenhoek Lecture is a prize lecture of the Royal Society to recognize achievement in microbiology
"	"The Soul competency is a Christian theological perspective on the accountability of each person before God
"	"Soul competency is a Christian theological perspective on the accountability of each person before God
"	1	QQ_definite-abstract-50-sae-50_definite-abstract-150-sae-150--0	-	definite-abstract
51	"Al Raha is a mixed commercial, residential, and the leisure area in Abu Dhabi, located primarily in Khalifa City A
"	"Al Raha is a mixed commercial, residential, and leisure area in Abu Dhabi, located primarily in Khalifa City A
"	"Dime Store Magic is a the fantasy novel by  Canadian writer Kelley Armstrong
"	"Dime Store Magic is a fantasy novel by  Canadian writer Kelley Armstrong
"	1	QQ_definite-abstract-51-sae-51_definite-abstract-151-sae-151--0	-	definite-abstract
52	"The Confirmation is one of the seven sacraments of the Catholic ChurchOregon Catholic Press What is The Confirmation?
"	"Confirmation is one of the seven sacraments of the Catholic ChurchOregon Catholic Press What is Confirmation?
"	"This national award is conferred on workers for outstanding contributions that improve the productivity, the innovation, and indigenization, resulting in saving foreign exchange.
"	"This national award is conferred on workers for outstanding contributions that improve productivity, innovation, and indigenization, resulting in saving foreign exchange.
"	1	QQ_definite-abstract-52-sae-52_definite-abstract-152-sae-152--0	-	definite-abstract
53	"The Fratellis EP was the the debut EP released on 3 April 2006 by Scottish band The Fratellis
"	"The Fratellis EP was the debut EP released on 3 April 2006 by Scottish band The Fratellis
"	"The Family Home Protection Act of 1976 is an Act of the Oireachtas which regulates an aspect of property law in Ireland and prevents the sale, partial sale, mortgage or the re-mortgage of a property which is defined as a family home under the terms of the Act without the knowledge and the consent of both spouses therein residing
"	"The Family Home Protection Act of 1976 is an Act of the Oireachtas which regulates an aspect of property law in Ireland and prevents the sale, partial sale, mortgage or re-mortgage of a property which is defined as a family home under the terms of the Act without the knowledge and consent of both spouses therein residing
"	1	QQ_definite-abstract-53-sae-53_definite-abstract-153-sae-153--0	-	definite-abstract
54	"It was founded in 2005 and describes itself as ""a coalition of non-Jewish Canadian community and business leaders dedicated to speaking out against the humanity's oldest hatred.
"	"It was founded in 2005 and describes itself as ""a coalition of non-Jewish Canadian community and business leaders dedicated to speaking out against humanity's oldest hatred.
"	"The Etrusco Unico was an the association football made by Adidas in the early 1990s
"	"The Etrusco Unico was an association football made by Adidas in the early 1990s
"	1	QQ_definite-abstract-54-sae-54_definite-abstract-154-sae-154--0	-	definite-abstract
