	Anchor 1	Anchor 2	Alternative 1.1	Alternative 1.2	Correct Alternative	ID	# Votes out of 5 for Correct Alternative	style type
10	" Em was a late member of the extinct order of Multituberculata.
"	" It was a late member of the extinct order of Multituberculata.
"	" Em existed in the company of dinosaurs.
"	" It existed in the company of dinosaurs.
"	1	QQ_sae-10-em-subj-pronoun-10_sae-110-em-subj-pronoun-110--0	-	em-subj-pronoun
11	"It emerges from the pons of the brainstem, controls the muscles of facial expression, and functions in the conveyance of taste sensations from the anterior two-thirds of the tongue.
"	"Em emerges from the pons of the brainstem, controls the muscles of facial expression, and functions in the conveyance of taste sensations from the anterior two-thirds of the tongue.
"	"Em was within the also extinct order Multituberculata, and lived during the ""age of the dinosaurs"".
"	"It was within the also extinct order Multituberculata, and lived during the ""age of the dinosaurs"".
"	2	QQ_em-subj-pronoun-11-sae-11_sae-111-em-subj-pronoun-111--1	-	em-subj-pronoun
12	"Air pollution is the most obvious example since it is non-excludable and non-rival, and negatively affects welfare.
"	"Air pollution is the most obvious example since em is non-excludable and non-rival, and negatively affects welfare.
"	"In jurisprudence, prosecutorial misconduct is ""an illegal act or failing to act, on the part of a prosecutor, especially an attempt to sway the jury to wrongly convict a defendant or to impose a harsher than appropriate punishment."" It is similar to selective prosecution.
"	"In jurisprudence, prosecutorial misconduct is ""an illegal act or failing to act, on the part of a prosecutor, especially an attempt to sway the jury to wrongly convict a defendant or to impose a harsher than appropriate punishment."" Em is similar to selective prosecution.
"	1	QQ_em-subj-pronoun-12-sae-12_em-subj-pronoun-112-sae-112--0	-	em-subj-pronoun
13	"She is the female principle, sister and wife of Anshar, the male principle, and the mother of Anu..
"	"Em is the female principle, sister and wife of Anshar, the male principle, and the mother of Anu..
"	"In softer interpretations, it means the victim receives the [estimated] value of the injury in compensation.
"	"In softer interpretations, em means the victim receives the [estimated] value of the injury in compensation.
"	1	QQ_em-subj-pronoun-13-sae-13_em-subj-pronoun-113-sae-113--0	-	em-subj-pronoun
14	"In the narrow sense, it expresses a view in Western Sovietology that the Soviet Union as a state was a colonial empire.
"	"In the narrow sense, em expresses a view in Western Sovietology that the Soviet Union as a state was a colonial empire.
"	"Em was a member of the also extinct order Multituberculata, and lived alongside the dinosaurs.
"	"It was a member of the also extinct order Multituberculata, and lived alongside the dinosaurs.
"	2	QQ_em-subj-pronoun-14-sae-14_sae-114-em-subj-pronoun-114--1	-	em-subj-pronoun
15	"In computer science, self-modifying code is code that alters its own instructions while em is executing – usually to reduce the instruction path length and improve performance or simply to reduce otherwise repetitively similar code, thus simplifying maintenance
"	"In computer science, self-modifying code is code that alters its own instructions while it is executing – usually to reduce the instruction path length and improve performance or simply to reduce otherwise repetitively similar code, thus simplifying maintenance
"	"Designed and built by the Brewster Aeronautical Corporation, em was one of the first U.
"	"Designed and built by the Brewster Aeronautical Corporation, it was one of the first U.
"	1	QQ_sae-15-em-subj-pronoun-15_sae-115-em-subj-pronoun-115--0	-	em-subj-pronoun
16	"It consisted of the neighborhoods Helsfyr, Teisen, Etterstad, Keyserløkka, Lille Tøyen, Valle, Løren, Carl Berners plass, Rosenhoff and Sinsen.
"	"Em consisted of the neighborhoods Helsfyr, Teisen, Etterstad, Keyserløkka, Lille Tøyen, Valle, Løren, Carl Berners plass, Rosenhoff and Sinsen.
"	"When photographic paper is exposed to light, em captures a latent image that is then developed to form a visible image; with most papers the image density from exposure can be sufficient to not require further development, aside from fixing and clearing, though latent exposure is also usually present.
"	"When photographic paper is exposed to light, it captures a latent image that is then developed to form a visible image; with most papers the image density from exposure can be sufficient to not require further development, aside from fixing and clearing, though latent exposure is also usually present.
"	2	QQ_em-subj-pronoun-16-sae-16_sae-116-em-subj-pronoun-116--1	-	em-subj-pronoun
17	"It has the determinant and the trace of the matrix as coefficients.
"	"Em has the determinant and the trace of the matrix as coefficients.
"	"It co-existed with some of the late dinosaurs.
"	"Em co-existed with some of the late dinosaurs.
"	1	QQ_em-subj-pronoun-17-sae-17_em-subj-pronoun-117-sae-117--0	-	em-subj-pronoun
18	"Em was a member of the also extinct order Multituberculata, and shared the world with dinosaurs.
"	"It was a member of the also extinct order Multituberculata, and shared the world with dinosaurs.
"	"Em is also a traditional neighbourhood located within this area to the south of Tveita and Haugerud and north of Oppsal.
"	"It is also a traditional neighbourhood located within this area to the south of Tveita and Haugerud and north of Oppsal.
"	1	QQ_sae-18-em-subj-pronoun-18_sae-118-em-subj-pronoun-118--0	-	em-subj-pronoun
19	"It remains the only UK-designed and -built fighter capable of Mach 2.
"	"Em remains the only UK-designed and -built fighter capable of Mach 2.
"	"It lived at the same time as the later dinosaurs.
"	"Em lived at the same time as the later dinosaurs.
"	1	QQ_em-subj-pronoun-19-sae-19_em-subj-pronoun-119-sae-119--0	-	em-subj-pronoun
20	"It drew on extensive DNA-DNA hybridisation studies to reassess the relationships between modern birds.
"	"Em drew on extensive DNA-DNA hybridisation studies to reassess the relationships between modern birds.
"	"Em drew on extensive DNA-DNA hybridisation studies to reassess the relationships between modern birds.
"	"It drew on extensive DNA-DNA hybridisation studies to reassess the relationships between modern birds.
"	2	QQ_em-subj-pronoun-20-sae-20_sae-120-em-subj-pronoun-120--1	-	em-subj-pronoun
21	"A city is displayed in bold if it is a capital city of a department.
"	"A city is displayed in bold if em is a capital city of a department.
"	"Despite being praised by some sources as a nearly ideal bend knot, it is not very well known.
"	"Despite being praised by some sources as a nearly ideal bend knot, em is not very well known.
"	1	QQ_em-subj-pronoun-21-sae-21_em-subj-pronoun-121-sae-121--0	-	em-subj-pronoun
22	"It has 37,913 inhabitants and the highest rate of immigrant population at 49.
"	"Em has 37,913 inhabitants and the highest rate of immigrant population at 49.
"	"Em drew on extensive DNA-DNA hybridisation studies to reassess the relationships between modern birds.
"	"It drew on extensive DNA-DNA hybridisation studies to reassess the relationships between modern birds.
"	2	QQ_em-subj-pronoun-22-sae-22_sae-122-em-subj-pronoun-122--1	-	em-subj-pronoun
23	"Em has been subject of considerable debate about its validity and circumscription.
"	"It has been subject of considerable debate about its validity and circumscription.
"	"It stars Jenny Runacre, Ian Charleson and a host of punk rockers, including Adam Ant and Toyah.
"	"Em stars Jenny Runacre, Ian Charleson and a host of punk rockers, including Adam Ant and Toyah.
"	2	QQ_sae-23-em-subj-pronoun-23_em-subj-pronoun-123-sae-123--1	-	em-subj-pronoun
24	"Em is an independent, non-governmental scientific organisation which takes special responsibility for the natural sciences and mathematics, but endeavours to promote the exchange of ideas between various disciplines.
"	"It is an independent, non-governmental scientific organisation which takes special responsibility for the natural sciences and mathematics, but endeavours to promote the exchange of ideas between various disciplines.
"	"Em lived at the same time as the dinosaurs.
"	"It lived at the same time as the dinosaurs.
"	1	QQ_sae-24-em-subj-pronoun-24_sae-124-em-subj-pronoun-124--0	-	em-subj-pronoun
25	"It is a young discipline, with much research taking place into the understanding of protein folding and recognition for protein design principles.
"	"Em is a young discipline, with much research taking place into the understanding of protein folding and recognition for protein design principles.
"	"It existed in the age immediately following the extinction of the last dinosaurs.
"	"Em existed in the age immediately following the extinction of the last dinosaurs.
"	1	QQ_em-subj-pronoun-25-sae-25_em-subj-pronoun-125-sae-125--0	-	em-subj-pronoun
26	"Røa was a borough of the city of Oslo, Norway until 1 January 2004, when it became part of the Vestre Aker district.
"	"Røa was a borough of the city of Oslo, Norway until 1 January 2004, when em became part of the Vestre Aker district.
"	"It consisted of a large photograph of a topless female glamour model, often known as a ""Page 3 girl,"" usually published on the third page of the print edition.
"	"Em consisted of a large photograph of a topless female glamour model, often known as a ""Page 3 girl,"" usually published on the third page of the print edition.
"	1	QQ_em-subj-pronoun-26-sae-26_em-subj-pronoun-126-sae-126--0	-	em-subj-pronoun
27	"Em was a member of the also extinct order Multituberculata, and led its obscure and plant-eating existence in the company of dinosaurs.
"	"It was a member of the also extinct order Multituberculata, and led its obscure and plant-eating existence in the company of dinosaurs.
"	"Underclocking is used to reduce a computer's power consumption, increase battery life, reduce heat emission, and it may also increase the system's stability and compatibility.
"	"Underclocking is used to reduce a computer's power consumption, increase battery life, reduce heat emission, and em may also increase the system's stability and compatibility.
"	2	QQ_sae-27-em-subj-pronoun-27_em-subj-pronoun-127-sae-127--1	-	em-subj-pronoun
28	" It is called ""shellcode"" because em typically starts a command shell from which the attacker can control the compromised machine, but any piece of code that performs a similar task can be called shellcode.
"	" It is called ""shellcode"" because it typically starts a command shell from which the attacker can control the compromised machine, but any piece of code that performs a similar task can be called shellcode.
"	"It is a byproduct of the manufacture of cheese or casein and has several commercial uses.
"	"Em is a byproduct of the manufacture of cheese or casein and has several commercial uses.
"	2	QQ_sae-28-em-subj-pronoun-28_em-subj-pronoun-128-sae-128--1	-	em-subj-pronoun
29	"Electric power distribution is the final stage in the delivery of electric power; em carries electricity from the transmission system to individual consumers
"	"Electric power distribution is the final stage in the delivery of electric power; it carries electricity from the transmission system to individual consumers
"	"Em was a member of the extinct order Multituberculata, and lies within the suborder Cimolodonta and the superfamily Taeniolabidoidea.
"	"It was a member of the extinct order Multituberculata, and lies within the suborder Cimolodonta and the superfamily Taeniolabidoidea.
"	1	QQ_sae-29-em-subj-pronoun-29_sae-129-em-subj-pronoun-129--0	-	em-subj-pronoun
30	"Em is a member of the extinct order of Multituberculata within the suborder of Cimolodonta, and the family Eucosmodontidae.
"	"It is a member of the extinct order of Multituberculata within the suborder of Cimolodonta, and the family Eucosmodontidae.
"	"It pursues this goal by conducting writing workshops in farmhouse dining rooms, homeless shelters, small town libraries, senior centers, urban churches and foundations.
"	"Em pursues this goal by conducting writing workshops in farmhouse dining rooms, homeless shelters, small town libraries, senior centers, urban churches and foundations.
"	2	QQ_sae-30-em-subj-pronoun-30_em-subj-pronoun-130-sae-130--1	-	em-subj-pronoun
31	"It drew on extensive DNA-DNA hybridisation studies to reassess the relationships between modern birds.
"	"Em drew on extensive DNA-DNA hybridisation studies to reassess the relationships between modern birds.
"	"Em stars Leslie Caron and Tom Bell.
"	"It stars Leslie Caron and Tom Bell.
"	2	QQ_em-subj-pronoun-31-sae-31_sae-131-em-subj-pronoun-131--1	-	em-subj-pronoun
32	"It consists of their 1990 non-album single ""Sliver"", B-sides, demos, outtakes, covers, and radio broadcast recordings.
"	"Em consists of their 1990 non-album single ""Sliver"", B-sides, demos, outtakes, covers, and radio broadcast recordings.
"	"It states:
"	"Em states:
"	1	QQ_em-subj-pronoun-32-sae-32_em-subj-pronoun-132-sae-132--0	-	em-subj-pronoun
33	"It drew on extensive DNA-DNA hybridisation studies to reassess the relationships between modern birds.
"	"Em drew on extensive DNA-DNA hybridisation studies to reassess the relationships between modern birds.
"	"Depending on the sophistication of the software, em can manage estimation and planning, scheduling, cost control and budget management, resource allocation, collaboration software, communication, decision-making, quality management and documentation or administration systems.
"	"Depending on the sophistication of the software, it can manage estimation and planning, scheduling, cost control and budget management, resource allocation, collaboration software, communication, decision-making, quality management and documentation or administration systems.
"	2	QQ_em-subj-pronoun-33-sae-33_sae-133-em-subj-pronoun-133--1	-	em-subj-pronoun
34	"Photographic processing transforms the latent image into a visible image, makes this permanent and renders em insensitive to light.
"	"Photographic processing transforms the latent image into a visible image, makes this permanent and renders it insensitive to light.
"	" She was one of the last sailing frigates of the United States Navy.
"	" Em was one of the last sailing frigates of the United States Navy.
"	2	QQ_sae-34-em-subj-pronoun-34_em-subj-pronoun-134-sae-134--1	-	em-subj-pronoun
35	"A member of the also extinct order Multituberculata, em lies within the suborder Plagiaulacida and family Eobaataridae.
"	"A member of the also extinct order Multituberculata, it lies within the suborder Plagiaulacida and family Eobaataridae.
"	"Em was a Roman Catholic replacement for the Eastern Orthodox Ecumenical Patriarchate of Constantinople, and remained in the city until the reconquest of Constantinople by the Byzantines in 1261, whereupon em became a titular see.
"	"It was a Roman Catholic replacement for the Eastern Orthodox Ecumenical Patriarchate of Constantinople, and remained in the city until the reconquest of Constantinople by the Byzantines in 1261, whereupon it became a titular see.
"	1	QQ_sae-35-em-subj-pronoun-35_sae-135-em-subj-pronoun-135--0	-	em-subj-pronoun
36	"It is not a recognized legal defense in jurisprudence, but a catchall term coined by reporters during their coverage of the trial of defendant Dan White for the murders of San Francisco city Supervisor Harvey Milk and Mayor George Moscone.
"	"Em is not a recognized legal defense in jurisprudence, but a catchall term coined by reporters during their coverage of the trial of defendant Dan White for the murders of San Francisco city Supervisor Harvey Milk and Mayor George Moscone.
"	"Em follows, from the 1920s to the early 1940s, the life and romances of the protagonist Charles Ryder, including his friendship with the Flytes, a family of wealthy English Catholics who live in a palatial mansion called Brideshead Castle.
"	"It follows, from the 1920s to the early 1940s, the life and romances of the protagonist Charles Ryder, including his friendship with the Flytes, a family of wealthy English Catholics who live in a palatial mansion called Brideshead Castle.
"	2	QQ_em-subj-pronoun-36-sae-36_sae-136-em-subj-pronoun-136--1	-	em-subj-pronoun
37	"Em is one of several petitions known as the ""Solemn Collects"" or ""Solemn Intercessions"" that are made in the Good Friday service for various classes and stations of peoples: for the Church; for the pope; for bishops, priests and deacons; for the faithful; for catechumens; for other Christians; for the Jews; for others who do not believe in Christ; for those who do not believe in God; for those in public office; and for those in special need.
"	"It is one of several petitions known as the ""Solemn Collects"" or ""Solemn Intercessions"" that are made in the Good Friday service for various classes and stations of peoples: for the Church; for the pope; for bishops, priests and deacons; for the faithful; for catechumens; for other Christians; for the Jews; for others who do not believe in Christ; for those who do not believe in God; for those in public office; and for those in special need.
"	"It was part of the Linux Documentation Project, and a sister webzine of the Linux Gazette.
"	"Em was part of the Linux Documentation Project, and a sister webzine of the Linux Gazette.
"	2	QQ_sae-37-em-subj-pronoun-37_em-subj-pronoun-137-sae-137--1	-	em-subj-pronoun
38	"In a claim of selective prosecution, a defendant essentially argues that it is irrelevant whether they are guilty of violating a law, but that the fact of being prosecuted is based upon forbidden reasons.
"	"In a claim of selective prosecution, a defendant essentially argues that em is irrelevant whether they are guilty of violating a law, but that the fact of being prosecuted is based upon forbidden reasons.
"	" It covers three phases.
"	" Em covers three phases.
"	1	QQ_em-subj-pronoun-38-sae-38_em-subj-pronoun-138-sae-138--0	-	em-subj-pronoun
39	"Em began with the reconquest of Stockholm by Gustav Vasa and his men from the Danes in 1523, Which was triggered by the event known as the Stockholm Bloodbath in 1520, and then was followed up by Sweden's secession from the Kalmar Union, and continued with the reign of Gustav's sons Eric XIV, John III, John's son Sigismund, and finally Gustav's youngest son Charles IX.
"	"It began with the reconquest of Stockholm by Gustav Vasa and his men from the Danes in 1523, Which was triggered by the event known as the Stockholm Bloodbath in 1520, and then was followed up by Sweden's secession from the Kalmar Union, and continued with the reign of Gustav's sons Eric XIV, John III, John's son Sigismund, and finally Gustav's youngest son Charles IX.
"	"The film matched animated zoo animals with a soundtrack of people talking about their homes, making it appear as if the animals were being interviewed about their living conditions.
"	"The film matched animated zoo animals with a soundtrack of people talking about their homes, making em appear as if the animals were being interviewed about their living conditions.
"	2	QQ_sae-39-em-subj-pronoun-39_em-subj-pronoun-139-sae-139--1	-	em-subj-pronoun
40	"It drew on extensive DNA-DNA hybridisation studies to reassess the relationships between modern birds.
"	"Em drew on extensive DNA-DNA hybridisation studies to reassess the relationships between modern birds.
"	"Em is an interdisciplinary subject drawing on natural and social sciences, and the practice of natural resource management.
"	"It is an interdisciplinary subject drawing on natural and social sciences, and the practice of natural resource management.
"	2	QQ_em-subj-pronoun-40-sae-40_sae-140-em-subj-pronoun-140--1	-	em-subj-pronoun
41	"An instrumental album, it peaked at No.
"	"An instrumental album, em peaked at No.
"	" Em contains two species both endemic to Australia, one of which is extinct.
"	" It contains two species both endemic to Australia, one of which is extinct.
"	2	QQ_em-subj-pronoun-41-sae-41_sae-141-em-subj-pronoun-141--1	-	em-subj-pronoun
42	"It usually includes both powered and unpowered vehicles, for example locomotives, railroad cars, coaches, and wagons.
"	"Em usually includes both powered and unpowered vehicles, for example locomotives, railroad cars, coaches, and wagons.
"	" Em begins at Notchland, near Crawford Notch State Park, and follows a series of trails to the hamlet of Fabyans, then over Cherry Mountain to the town of Jefferson, over Mount Waumbek, along the Kilkenny Ridge Trail to Stark, through Nash Stream Forest to Dixville Notch, and north to the Connecticut Lakes and finally the Canada–US border at the southern edge of Quebec.
"	" It begins at Notchland, near Crawford Notch State Park, and follows a series of trails to the hamlet of Fabyans, then over Cherry Mountain to the town of Jefferson, over Mount Waumbek, along the Kilkenny Ridge Trail to Stark, through Nash Stream Forest to Dixville Notch, and north to the Connecticut Lakes and finally the Canada–US border at the southern edge of Quebec.
"	2	QQ_em-subj-pronoun-42-sae-42_sae-142-em-subj-pronoun-142--1	-	em-subj-pronoun
43	"It has an alphabetised title scheme covering all areas of law, drawing on authorities including Acts of the United Kingdom, Measures of the Welsh Assembly, UK case law and European law.
"	"Em has an alphabetised title scheme covering all areas of law, drawing on authorities including Acts of the United Kingdom, Measures of the Welsh Assembly, UK case law and European law.
"	"Its first section opened in 1863, making em the oldest underground metro system in the world – although in fact approximately 55% of the current network is above ground, as em generally runs on the surface in outlying suburbs.
"	"Its first section opened in 1863, making it the oldest underground metro system in the world – although in fact approximately 55% of the current network is above ground, as it generally runs on the surface in outlying suburbs.
"	2	QQ_em-subj-pronoun-43-sae-43_sae-143-em-subj-pronoun-143--1	-	em-subj-pronoun
44	"It drew on extensive DNA-DNA hybridisation studies to reassess the relationships between modern birds.
"	"Em drew on extensive DNA-DNA hybridisation studies to reassess the relationships between modern birds.
"	"Today it is the English city of Bath, Somerset.
"	"Today em is the English city of Bath, Somerset.
"	1	QQ_em-subj-pronoun-44-sae-44_em-subj-pronoun-144-sae-144--0	-	em-subj-pronoun
45	" Em is a natural generalization of the topology of the real numbers to arbitrary totally ordered sets.
"	" It is a natural generalization of the topology of the real numbers to arbitrary totally ordered sets.
"	" He is chief counsellor of the king, and the father of Laertes and Ophelia.
"	" Em is chief counsellor of the king, and the father of Laertes and Ophelia.
"	2	QQ_sae-45-em-subj-pronoun-45_em-subj-pronoun-145-sae-145--1	-	em-subj-pronoun
46	"It was a member of the also extinct order Multituberculata, and lived alongside of dinosaurs.
"	"Em was a member of the also extinct order Multituberculata, and lived alongside of dinosaurs.
"	"The show is produced by the public service broadcaster RTÉ, em first aired on RTÉ One on Monday 18 September 1989.
"	"The show is produced by the public service broadcaster RTÉ, it first aired on RTÉ One on Monday 18 September 1989.
"	2	QQ_em-subj-pronoun-46-sae-46_sae-146-em-subj-pronoun-146--1	-	em-subj-pronoun
47	"Em takes the interrupt number formatted as a byte value.
"	"It takes the interrupt number formatted as a byte value.
"	"Em drew on extensive DNA-DNA hybridisation studies to reassess the relationships between modern birds.
"	"It drew on extensive DNA-DNA hybridisation studies to reassess the relationships between modern birds.
"	1	QQ_sae-47-em-subj-pronoun-47_sae-147-em-subj-pronoun-147--0	-	em-subj-pronoun
48	"Em lived in what is now Mongolia during the late Campanian age of the Late Cretaceous Period, about 72 million years ago.
"	"It lived in what is now Mongolia during the late Campanian age of the Late Cretaceous Period, about 72 million years ago.
"	"Em also plays a part in confession among Anglicans and Methodists, in which em is a rite, as well as among other Protestants.
"	"It also plays a part in confession among Anglicans and Methodists, in which it is a rite, as well as among other Protestants.
"	1	QQ_sae-48-em-subj-pronoun-48_sae-148-em-subj-pronoun-148--0	-	em-subj-pronoun
49	"Ugly Rumours was the name of a rock band founded in part by former UK prime minister Tony Blair, while studying law at St John's College, Oxford during the early 1970s; em sang and played guitar
"	"Ugly Rumours was the name of a rock band founded in part by former UK prime minister Tony Blair, while studying law at St John's College, Oxford during the early 1970s; he sang and played guitar
"	"It drew on extensive DNA-DNA hybridisation studies to reassess the relationships between modern birds.
"	"Em drew on extensive DNA-DNA hybridisation studies to reassess the relationships between modern birds.
"	2	QQ_sae-49-em-subj-pronoun-49_em-subj-pronoun-149-sae-149--1	-	em-subj-pronoun
50	"He wrote it between November 1960 and March 1962.
"	"Em wrote it between November 1960 and March 1962.
"	"It is usually slung sash-style over the shoulder, with the ammunition pockets across the midriff and chest.
"	"Em is usually slung sash-style over the shoulder, with the ammunition pockets across the midriff and chest.
"	1	QQ_em-subj-pronoun-50-sae-50_em-subj-pronoun-150-sae-150--0	-	em-subj-pronoun
51	"It connects the Westerschelde and the Oosterschelde.
"	"Em connects the Westerschelde and the Oosterschelde.
"	"America was the first ship of the line built for the Continental Navy, but she never saw service there, being given to France after launching.
"	"America was the first ship of the line built for the Continental Navy, but em never saw service there, being given to France after launching.
"	1	QQ_em-subj-pronoun-51-sae-51_em-subj-pronoun-151-sae-151--0	-	em-subj-pronoun
52	"It operated services between three Finnish destinations as well as international flights to Tallinn.
"	"Em operated services between three Finnish destinations as well as international flights to Tallinn.
"	"It existed in the age immediately following the extinction of the last dinosaurs and was a member of the extinct order Multituberculata.
"	"Em existed in the age immediately following the extinction of the last dinosaurs and was a member of the extinct order Multituberculata.
"	1	QQ_em-subj-pronoun-52-sae-52_em-subj-pronoun-152-sae-152--0	-	em-subj-pronoun
53	"It was a member of the also extinct order Multituberculata and shared the world with the much larger dinosaurs.
"	"Em was a member of the also extinct order Multituberculata and shared the world with the much larger dinosaurs.
"	"It represented numerous artists and arts groups, the Brampton Arts Council encourages and recognizes excellence in the arts across the community.
"	"Em represented numerous artists and arts groups, the Brampton Arts Council encourages and recognizes excellence in the arts across the community.
"	1	QQ_em-subj-pronoun-53-sae-53_em-subj-pronoun-153-sae-153--0	-	em-subj-pronoun
54	"In the late 18th century a movement known as Romanticism began; it validated strong emotion as an authentic not of aesthetic experience, placing new emphasis on such emotions as trepidation, horror and terror and awe.
"	"In the late 18th century a movement known as Romanticism began; em validated strong emotion as an authentic not of aesthetic experience, placing new emphasis on such emotions as trepidation, horror and terror and awe.
"	"As it is typical of thermal power stations, heat is used to generate steam that drives a steam turbine connected to a generator that produces electricity.
"	"As em is typical of thermal power stations, heat is used to generate steam that drives a steam turbine connected to a generator that produces electricity.
"	1	QQ_em-subj-pronoun-54-sae-54_em-subj-pronoun-154-sae-154--0	-	em-subj-pronoun
55	"Em often grows in damp woods on lime substrates.
"	"It often grows in damp woods on lime substrates.
"	"  Em is a term of common speech, but may have more specific definitions in such fields as the law, medicine, research, and sexual relationships.
"	"  It is a term of common speech, but may have more specific definitions in such fields as the law, medicine, research, and sexual relationships.
"	1	QQ_sae-55-em-subj-pronoun-55_sae-155-em-subj-pronoun-155--0	-	em-subj-pronoun
56	"Em lived during the end of the Mesozoic, also known as the ""age of the dinosaurs"".
"	"It lived during the end of the Mesozoic, also known as the ""age of the dinosaurs"".
"	"A tower is a tall structure, taller than it is wide, often by a significant margin
"	"A tower is a tall structure, taller than em is wide, often by a significant margin
"	2	QQ_sae-56-em-subj-pronoun-56_em-subj-pronoun-156-sae-156--1	-	em-subj-pronoun
57	"It has many former stations, while others were planned but never formally opened for public use.
"	"Em has many former stations, while others were planned but never formally opened for public use.
"	"It was a member of the extinct order Multituberculata within the suborder Cimolodonta and family Cimolomyidae.
"	"Em was a member of the extinct order Multituberculata within the suborder Cimolodonta and family Cimolomyidae.
"	1	QQ_em-subj-pronoun-57-sae-57_em-subj-pronoun-157-sae-157--0	-	em-subj-pronoun
