	Anchor 1	Anchor 2	Alternative 1.1	Alternative 1.2	Correct Alternative	ID	# Votes out of 5 for Correct Alternative	style type
44	MENTION :o I'm an og then :O	MENTION 😮 I'm an og then 😯	Why are you so cute? — plsss you're cuter !! REMOVEDEMOTICON\nWho are you anyway ?! 😮 LINK/MEDIA	Why are you so cute? — plsss you're cuter !! REMOVEDEMOTICON\nWho are you anyway ?! :O LINK/MEDIA	2	QQ_emote44-emoji44_emoji40-emote40--1		emotives
45	MENTION why do you think so 😯	MENTION why do you think so :o	that blueface situation is lame as hell tbh. you get no cool points for telling ya gf to whoop ya moms or sister :/	that blueface situation is lame as hell tbh. you get no cool points for telling ya gf to whoop ya moms or sister 🤔	2	QQ_emoji45-emote45_emote85-emoji85--1		emotives
46	MENTION That mokoko😮 I neeeddd	MENTION That mokoko:O I neeeddd	MENTION Doesn’t make the product stand out in any way :/	MENTION Doesn’t make the product stand out in any way 🤔	2	QQ_emoji46-emote46_emote78-emoji78--1		emotives
47	oh :o LINK/MEDIA	oh 😮 LINK/MEDIA	MENTION MENTION Good morning to you too. Amazing collection. Beautiful colors and lovely details. REMOVEDEMOJI:]	MENTION MENTION Good morning to you too. Amazing collection. Beautiful colors and lovely details. REMOVEDEMOJI😊	1	QQ_emote47-emoji47_emote101-emoji101--0		emotives
48	my roommate can't actually sneeze he can only fake sneeze 😮	my roommate can't actually sneeze he can only fake sneeze :o	women who are into poetry (and literature in general) are so sexy 😮REMOVEDEMOJI	women who are into poetry (and literature in general) are so sexy :oREMOVEDEMOJI	1	QQ_emoji48-emote48_emoji135-emote135--0		emotives
49	MENTION :O! Thank you!!	MENTION 😮! Thank you!!	women who are into poetry (and literature in general) are so sexy 😮REMOVEDEMOJI	women who are into poetry (and literature in general) are so sexy :oREMOVEDEMOJI	2	QQ_emote49-emoji49_emoji135-emote135--1		emotives
50	thanks for checking&cheering me up when im @ my lowest my guys MENTION love u all hurots;;;))))	thanks for checking&cheering me up when im @ my lowest my guys MENTION love u all hurots😘😘😘	not again :/	not again 🤔	1	QQ_emote50-emoji50_emote94-emoji94--0		emotives
51	Slavs don’t do articles. Sorry Bulgarians, you are fake Slavs 😉 LINK/MEDIA	Slavs don’t do articles. Sorry Bulgarians, you are fake Slavs ;) LINK/MEDIA	MENTION Please try to keep them sweet! 😊	MENTION Please try to keep them sweet! :)	1	QQ_emoji51-emote51_emoji124-emote124--0		emotives
52	MENTION MENTION yup, he's def. beating Zverev lol 😘	MENTION MENTION yup, he's def. beating Zverev lol ;)	MENTION omg hi r u looking for a concert buddy ?? 😮	MENTION omg hi r u looking for a concert buddy ?? :o	1	QQ_emoji52-emote52_emoji32-emote32--0		emotives
53	MENTION MENTION But now, he is this 😘\nDo not question how I found this photo- LINK/MEDIA	MENTION MENTION But now, he is this ;)\nDo not question how I found this photo- LINK/MEDIA	Second interview today but my lazy eye won’t go away 🤔	Second interview today but my lazy eye won’t go away :/	1	QQ_emoji53-emote53_emoji81-emote81--0		emotives
54	MENTION All in good time 😉	MENTION All in good time ;)	MENTION ????:)REMOVEDEMOTICON:)REMOVEDEMOTICONREMOVEDEMOTICON omg tysm	MENTION ????😊REMOVEDEMOTICON😀REMOVEDEMOTICONREMOVEDEMOTICON omg tysm	2	QQ_emoji54-emote54_emote15-emoji15--1		emotives
55	helllooo 😉😉 #nsfwtwt LINK/MEDIA	helllooo ;)) #nsfwtwt LINK/MEDIA	"MENTION miss me with that it's not realistic bullshit because he doesn't have to come out to make it clear to the audience. it's not beautiful, it's the same lazy cop-out we see repeatedly. they like to dangle a weird-ass carrot like ""oop he could be gay but we never said he was 😘"""	"MENTION miss me with that it's not realistic bullshit because he doesn't have to come out to make it clear to the audience. it's not beautiful, it's the same lazy cop-out we see repeatedly. they like to dangle a weird-ass carrot like ""oop he could be gay but we never said he was ;)"""	1	QQ_emoji55-emote55_emoji65-emote65--0		emotives
56	MENTION MENTION 10 day is better than 60 😘	MENTION MENTION 10 day is better than 60 ;)	MENTION what the Oat do :o	MENTION what the Oat do 😮	2	QQ_emoji56-emote56_emote28-emoji28--1		emotives
57	MENTION If you could only mute one account that does this, which one would it be?😉	MENTION If you could only mute one account that does this, which one would it be?;)	MENTION How are you supposed to start with kisses, when she continually says she hates your kisses...🤔	MENTION How are you supposed to start with kisses, when she continually says she hates your kisses...:/	1	QQ_emoji57-emote57_emoji187-emote187--0		emotives
58	MENTION Not just on the 1st pick but on every pick they can study the possibility😘	MENTION Not just on the 1st pick but on every pick they can study the possibility;)	MENTION terrible idea as per usual REMOVEDEMOJI whats every1 gonna do 2 months down the line when that 400 is spend on gas and electric 🤔 useless twats REMOVEDEMOJI	MENTION terrible idea as per usual REMOVEDEMOJI whats every1 gonna do 2 months down the line when that 400 is spend on gas and electric :/ useless twats REMOVEDEMOJI	1	QQ_emoji58-emote58_emoji181-emote181--0		emotives
59	MENTION I would love to create some awesome designs for your merch/t-shirts! HMU! ;)	MENTION I would love to create some awesome designs for your merch/t-shirts! HMU! 😉	I’ve seen so many schools advertising multiple times for posts this year, every time I go onto tes it’s the same schools. I apply each time and either hear nothing back or get told I am inexperienced😮	I’ve seen so many schools advertising multiple times for posts this year, every time I go onto tes it’s the same schools. I apply each time and either hear nothing back or get told I am inexperienced:O	2	QQ_emote59-emoji59_emoji143-emote143--1		emotives
60	I AM BUZZING WITH THIS!! MENTION 2022/23 HOME SHIRT!!\n\nTHANK YOU MENTION REMOVEDEMOTICON \n\nGuys please head over and send them some love REMOVEDEMOTICON\n\npromo code coming soon ;) LINK/MEDIA	I AM BUZZING WITH THIS!! MENTION 2022/23 HOME SHIRT!!\n\nTHANK YOU MENTION REMOVEDEMOTICON \n\nGuys please head over and send them some love REMOVEDEMOTICON\n\npromo code coming soon 😘 LINK/MEDIA	MENTION 😲 noice!	MENTION :O noice!	2	QQ_emote60-emoji60_emoji39-emote39--1		emotives
61	MENTION Heccin Ky-utie~ 😘 This art style is adorable too~ REMOVEDEMOTICON	MENTION Heccin Ky-utie~ ;3 This art style is adorable too~ REMOVEDEMOTICON	MENTION 😲\nIts yours too??!?!?!?	MENTION :O\nIts yours too??!?!?!?	1	QQ_emoji61-emote61_emoji34-emote34--0		emotives
62	MENTION My hexblade has crippling family expectation issues that create an intense need to prove himself. This mixes poorly with his equally intense need to make friends, because he grew up being groomed for taking power and surrounded entirely by adults. Strixhaven game, obviously 😜	MENTION My hexblade has crippling family expectation issues that create an intense need to prove himself. This mixes poorly with his equally intense need to make friends, because he grew up being groomed for taking power and surrounded entirely by adults. Strixhaven game, obviously ;)	MENTION Hey Ass why is it that every time you tweet I buy more? :/#AMC REMOVEDEMOJI	MENTION Hey Ass why is it that every time you tweet I buy more? 🤔#AMC REMOVEDEMOJI	2	QQ_emoji62-emote62_emote180-emoji180--1		emotives
63	MENTION MENTION MENTION MENTION MENTION It was sarcasm ;) the idea that a text is meant to prevent something is a bit too innocent :)	MENTION MENTION MENTION MENTION MENTION It was sarcasm 😜 the idea that a text is meant to prevent something is a bit too innocent 😀	They both wink in green 😉😉	They both wink in green ;))	2	QQ_emote63-emoji63_emoji152-emote152--1		emotives
64	If you can dream it, you can do it! Be Confident! 😘 Teens_Adel	If you can dream it, you can do it! Be Confident! ;) Teens_Adel	MENTION will you be getting the doctor strange in the multiverse if madness scarlet witch hot toy in ? I can’t find anywhere in the UK to pre order it 🤔	MENTION will you be getting the doctor strange in the multiverse if madness scarlet witch hot toy in ? I can’t find anywhere in the UK to pre order it :/	1	QQ_emoji64-emote64_emoji90-emote90--0		emotives
65	"MENTION miss me with that it's not realistic bullshit because he doesn't have to come out to make it clear to the audience. it's not beautiful, it's the same lazy cop-out we see repeatedly. they like to dangle a weird-ass carrot like ""oop he could be gay but we never said he was ;)"""	"MENTION miss me with that it's not realistic bullshit because he doesn't have to come out to make it clear to the audience. it's not beautiful, it's the same lazy cop-out we see repeatedly. they like to dangle a weird-ass carrot like ""oop he could be gay but we never said he was 😘"""	"Why does d brain read ""Wtf"" in full and ""Lol"" in abbreviationREMOVEDEMOJI:O"	"Why does d brain read ""Wtf"" in full and ""Lol"" in abbreviationREMOVEDEMOJI😮"	1	QQ_emote65-emoji65_emote127-emoji127--0		emotives
66	MENTION Haha let you enjoy a good boss battle ;)	MENTION Haha let you enjoy a good boss battle 😘	MENTION MENTION MENTION MENTION MENTION MENTION \nMENTION\nDone sir, i participateREMOVEDEMOJI:o	MENTION MENTION MENTION MENTION MENTION MENTION \nMENTION\nDone sir, i participateREMOVEDEMOJI😮	1	QQ_emote66-emoji66_emote129-emoji129--0		emotives
67	MENTION glad u like it tho 😘	MENTION glad u like it tho ;]	MENTION Thats a very cute screensaver ☺️	MENTION Thats a very cute screensaver :)	1	QQ_emoji67-emote67_emoji122-emote122--0		emotives
68	MENTION MENTION Thank you so much, please send me a DM 😘	MENTION MENTION Thank you so much, please send me a DM ;)	But there is still one question that remains, did she die doing this or survive? :////:)REMOVEDEMOJI MENTION MENTION MENTION MENTION MENTION #WandaMaximoff #ScarletWitch LINK/MEDIA	But there is still one question that remains, did she die doing this or survive? 🤔🤔🤔🤔😀REMOVEDEMOJI MENTION MENTION MENTION MENTION MENTION #WandaMaximoff #ScarletWitch LINK/MEDIA	2	QQ_emoji68-emote68_emote193-emoji193--1		emotives
69	MENTION MENTION MENTION 2 cases and 1 guilty. (I read the article.)  😉	MENTION MENTION MENTION 2 cases and 1 guilty. (I read the article.)  ;)	MENTION Thats a very cute screensaver :)	MENTION Thats a very cute screensaver ☺️	2	QQ_emoji69-emote69_emote122-emoji122--1		emotives
70	MENTION I like millstones as punishment for those who harm children REMOVEDEMOTICON.. Millstone necklace, make em walk into the ocean 😜	MENTION I like millstones as punishment for those who harm children REMOVEDEMOTICON.. Millstone necklace, make em walk into the ocean ;)	MENTION will you be getting the doctor strange in the multiverse if madness scarlet witch hot toy in ? I can’t find anywhere in the UK to pre order it 🤔	MENTION will you be getting the doctor strange in the multiverse if madness scarlet witch hot toy in ? I can’t find anywhere in the UK to pre order it :/	1	QQ_emoji70-emote70_emoji90-emote90--0		emotives
71	Ass ;) #nsfwtwt LINK/MEDIA	Ass 😉 #nsfwtwt LINK/MEDIA	REMOVEDEMOJI:/REMOVEDEMOJI #knownews ##blockchain ##cryptocurrency #bitcoin #eth The case for Bitcoin as a hedge against inflation Bitcoin LINK/MEDIA	REMOVEDEMOJI🤔REMOVEDEMOJI #knownews ##blockchain ##cryptocurrency #bitcoin #eth The case for Bitcoin as a hedge against inflation Bitcoin LINK/MEDIA	1	QQ_emote71-emoji71_emote197-emoji197--0		emotives
72	MENTION MENTION MENTION MENTION It’s happened ;).	MENTION MENTION MENTION MENTION It’s happened 😘.	MENTION YOOOO REMOVEDEMOTICON however i hope im not intimidating 😮	MENTION YOOOO REMOVEDEMOTICON however i hope im not intimidating :o	2	QQ_emote72-emoji72_emoji37-emote37--1		emotives
73	MENTION In ur fantasy u can 😘	MENTION In ur fantasy u can ;)	MENTION MENTION Really 😲?	MENTION MENTION Really :O?	1	QQ_emoji73-emote73_emoji140-emote140--0		emotives
74	MENTION MENTION L**k out f*r Ninja! ;)	MENTION MENTION L**k out f*r Ninja! 😜	MENTION Love it! :-)	MENTION Love it! 😀	1	QQ_emote74-emoji74_emote110-emoji110--0		emotives
