	Anchor 1	Anchor 2	Alternative 1.1	Alternative 1.2	Correct Alternative	ID	# Votes out of 5 for Correct Alternative	style type
113	Most of the songs were written by Richard M. Sherman and Robert B. Sherman.	Richard M. Sherman and Robert B. Sherman wrote most of the songs.	This work was accomplished through the efforts of Martin Evans and Oliver Smithies working on the knockout mice.	Martin Evans and Oliver Smithies completed the Knockout Mice.	1	QQ_c-338-s-t6-338_c-2198-s-t6-2198--0	5	simplicity
546	It took three months and 250 soldiers to roll the gun barrels all the way from North Sydney to the batteries.	Over three months 250 soldiers rolled gun barrels from North Sydney to the batteries.	They had extensive maritime trade contacts with the Roman empire.	They had many trade relationships with the Roman empire.	1	QQ_c-1581-s-t2-1581_c-696-s-t2-696--0	3	simplicity
811	As of 2007, a maximum of four players can be inducted in one year but the greatest number of players ever inducted in a year was 27, in 1962.	As of 2007, a maximum of four players can be invested in one year, but the greatest number of players ever inducted in a year was 27, in 1962.	Levon V Lusignan of Armenia will remain in jail in Cairo until King John I of Castille pays for Levon to be released.	Levon V Lusignan of Armenia is imprisoned for several years in Cairo until a ransom is paid by King John I of Castile.	2	QQ_c-2302-s-t6-2302_s-t6-830-c-830--1	4	simplicity
660	Description Pack rats are prevalent in the deserts and highlands of western United States and northern Mexico.	Description: Pack rats are normally seen in the deserts and highlands of western United States and northern Mexico	Railway Gazette International is a monthly business journal covering the railway, metro, light rail and tram industries around the world.	Railway Gazette International is a monthly business journal covering the railway, metro, light rail and tram industries worldwide.	2	QQ_c-495-s-t6-495_s-t6-217-c-217--1	5	simplicity
271	He was considered by many to be a saint.	Many think, that he was a saint.	Undated The first settlement is made in the area of what is now Louisville, Kentucky by 13 families under Colonel George Rogers Clark.	The first settlement in Louisville, Kentucky was by 13 families under George Rodgers Clark.	1	QQ_c-617-s-t7-617_c-1135-s-t7-1135--0	5	simplicity
128	In a decade of its beginning, A & M became the world's largest independent reconrd company.	Within a decade of its inception, A & M became the world's largest independent record company.	This scence is important for Rowling because it shows Harry's bravery. By retrieving Cedric's corpse Harry reveals his selflessness and compassion.	For Rowling, this scene is important because it shows Harry's bravery, and by retrieving Cedric's corpse, he demonstrates selflessness and compassion.	1	QQ_s-t1-777-c-777_s-t1-282-c-282--0	3	simplicity
646	Word processing templates simplifies creation of standardized documents such as  resumes by bypassing the initial setup and configuration time.	Word processing templates enable the ability to bypass the initial setup and configuration time necessary to create standardized documents such as a resume.	After making a list of names from fans and taking an online poll, the feature was named ECW X-Stream on October 31, 2007.	After gathering a list of names from fans and conducting an online poll, the feature was named ECW X-Stream on October 31, 2007.	1	QQ_s-t6-366-c-366_s-t6-936-c-936--0	3	simplicity
479	"If he does n't like the way a relationship is going, he tries to ""fizzle"" things out."	If he doesn't like the way a relationship is going he tries to end things.	While there, he meets Arthur Stuart, the son of a slave and a slave-owner who was adopted by the owners of a guesthouse.	While there he meets a young half-black boy by the name of Arthur Stuart, the son of a slave and a slave-owner who has been adopted by the owners of the local guesthouse.	2	QQ_c-707-s-t1-707_s-t1-956-c-956--1	3	simplicity
798	They are a type of reporter gene used in laboratory microbiology, molecular biology, and genetic engineering to indicate the success of a transfection or other procedure meant to introduce foreign DNA into a cell.	They are a type of reporter gene that is used in laboratory microbiology, molecular biology, and genetic engineering to show the success of a transfection or other procedure that introduces foreign DNA into a cell.	The characters are foul-mouthed extensions of their earlier characters Pete and Dud.	The cast are offensive speaking alikes of their earlier cast Pete and Dud.	1	QQ_c-2203-s-t7-2203_c-114-s-t7-114--0	4	simplicity
803	The mountian range makes up the border between both countries for 150 kilometers, beginning from the western border of Saxony to the Elbe river.	The mountain range forms the border between both countries for 150 kilometers, extending from the western border of Saxony to the Elbe river.	Culture Attractions in Nouakchott include Nouakchott Museum, Nouakchott Silver Market, and the beaches.	Culture Attractions in Nouakchott include Nouakchott Museum, several markets including Nouakchott Silver Market, and the beaches.	1	QQ_s-t2-2239-c-2239_s-t2-988-c-988--0	4	simplicity
763	The district is almost entirely French-speaking and is home to a population of 35,175 (end of 2005).	Almost all of the area speaks French, and 35,175 people live there (end of 2005).	A supermassive black hole is a black hole with a mass of the order of between 105 and 1010 solar masses.	A supermassive black hole is a black hole with a weight of between 105 and 1010 weights as the sun.	1	QQ_c-1783-s-t5-1783_c-853-s-t5-853--0	4	simplicity
203	The museum, Pearson Field, and the Fort Vancouver National Historic Site are part of the Vancouver National Historic Reserve.	The museum and Pearson Field, along with the Fort Vancouver National Historic Site, are part of the Vancouver National Historic Reserve.	However, Twofish has seen less widespread usage than Blowfish, which has been available for a longer period of time.	Twofish is used les than Blowfish, which is older.	2	QQ_s-t0-2330-c-2330_c-758-s-t0-758--1	4	simplicity
487	The President of the Bundesrat is normally elected on the 1 November of a particular year, who is in office until the 31st October of the following year.	Election The President of the Bundesrat usually is elected on the 1 November in a given year, and serves until the 31 October in the year that follows.	Under the ring name Test, Martin wrestled for World Wrestling Federation (later World Wrestling Entertainment) from 1998 – 2004, and 2006 – 2007.	Test Martin wrestled for World Wrestling Federation from 1998-2004 and 2006-2007.	2	QQ_s-t3-764-c-764_c-1984-s-t3-1984--1	3	simplicity
338	The team was founded by Alexander Cartwright, considered one of the original developers of modern baseball.	The team weas founded by Alexander Cartwright, one of the developers of baseball.	President Woodrow Wolson proglaimed Armastice Day on November 12, 1919.	History U.S. President Woodrow Wilson first proclaimed an Armistice Day for November 12, 1919.	2	QQ_c-1414-s-t1-1414_s-t1-794-c-794--1	4	simplicity
593	Later that year, the band released their debut album, Fresh Fruit for Rotting Vegetables.	Later that year, the band released their first album, Fresh Fruit for Rotting Vegetables.	These benefits are in some ways similar to those realized by owners of infrastructural capital which yields more goods, e.g. a factory which produces automobiles just as an apple tree produces apples.	The benefits are similar to owners of infrastructural capital which yields more goods.	1	QQ_c-2068-s-t2-2068_c-480-s-t2-480--0	5	simplicity
294	The cyclone continued tracking northwestward, making landfall around 0000 UTC on September 22 near Fort Walton Beach, Florida with winds of 35 mph (55 km / h).	The cyclone went northwestward with winds of 35 mph when it made landfall near Fort Walton Beach, Florida.	PackageKit is an open source and free collection of software applications designed to provide a constant and high-level front end for a number of different package management systems.	PackageKit is an open source and free suite of software applications designed to provide a consistent and high-level front end for a number of different package management systems.	2	QQ_c-929-s-t0-929_s-t0-811-c-811--1	3	simplicity
88	She has a three-octave vocal range Accessed August 5, 2008 and a distinctively rapid vibrato.	She has a three-octave vocal range and a rapid vibrato.	The best place to find these fish is where the Amazon River meets the Rio Negro, near Brazil's inland city of Manaus.	Location and habitat The area most populated by this fish is at the junction of the Amazon River and the Rio Negro, near Brazil's inland city of Manaus.	2	QQ_c-2059-s-t7-2059_s-t7-1858-c-1858--1	5	simplicity
677	76 This association has reinforced the fox's supernatural significance.	76 This association has strengthened the fox's supernatural significance.	It was to be used as a world-wide extra language; that is, as second language, not to replace ethnic languages.	It was to serve as an international auxiliary language, that is, as a universal second language, not to replace ethnic languages.	2	QQ_c-674-s-t7-674_s-t7-789-c-789--1	3	simplicity
681	That is, the term is defined negatively and does not presuppose a genetic relationship.	To say, the term is explained negatively and does not assume a genetic relationship.	On July 17 2006, the Keck-10m II telescope and its Laser guide star Adaptive Optics (AO) system indicated a bilobated shape for Hektor.	On July 17 2006, the Keck-10m II telescope ,and its Laser guide star Adaptive Optics system indicated a bilobated shape for Hektor.	1	QQ_c-727-s-t5-727_c-1184-s-t5-1184--0	3	simplicity
724	Hundreds of islands make up the small area known as the South China Islands, which as a whole are an archipelago.	The minute South China Sea Islands, collectively an archipelago, number in the hundreds.	For example, a shop might give away its stock in its promotion, but producing these goods would still have required the use of scarce resources, so this would not be a free good in an economic sense.	For example, a shop might give away its stock in its promotion, but making these goods would still have required the use of rare resources, so this would not be a free good in an economic sense.	2	QQ_s-t7-1238-c-1238_c-1080-s-t7-1080--1	3	simplicity
59	RollerCoaster Tycoon (or often abbreviated RCT) is a series of computer games that simulate amusement park management.	RollerCoaster Tycoon (or often written as RCT) is a group of computer games that recreate amusement park management.	About 2,000 troops have been sent to Zipingpu, trying to release the pressure through spillway.	About 2,000 troops have been allocated to Zipingpu, trying to release the pressure through spillway.	2	QQ_c-1443-s-t6-1443_s-t6-1127-c-1127--1	4	simplicity
719	The following year, the title returned to Raw after reigning champion Triple H was drafted back to the brand during the 2009 WWE Draft.	The next year, the title was won by Raw after returning champion Triple H was recruited back to the WWE during their 2009 draft.	A doll is an object that looks like a baby or other human being.	A doll is an object that represents a baby or other human being.	2	QQ_c-1180-s-t1-1180_s-t1-1033-c-1033--1	5	simplicity
572	TDL Group announced in March 2006, in response to a request by Chief of the Defence Staff, General Rick Hillier, its commitment to open a franchised location at the Canadian Forces operations base in Kandahar, Afghanistan.	Storm names 2006 storm names Alberto Helene Beryl Isaac Chris, Debby, Ernesto, Florence Gordon The names listed were used for named storms formed in the North Atlantic during 2006.	Palestinian voters in the Gaza Strip and the West Bank including East Jerusalem were eligible to participate in the election.	1. Palestinian voters in the Gaza Strip, West Bank, and East Jerusalem were eligible to participate in the election.	1	QQ_c-1818-s-t3-1818_c-1178-s-t3-1178--0	5	simplicity
98	Will Vinton has named Foamation as a one foam-rubber process.	One foam-rubber process has been coined as Foamation by Will Vinton.	Bedroom bondage games often constitute foreplay.	Bedroom bondage games are often a part of foreplay.	2	QQ_s-t7-2214-c-2214_c-1183-s-t7-1183--1	4	simplicity
445	Jameson's autobiography, How to Make Love Like a Porn Star: A Cautionary Tale was published August 17, 2004.	jameson autobiography, how to make love.	In common law legal systems, a precedent or authority is a legal case establishing a principle or rule that a court or other judicial body utilizes when deciding subsequent cases with similar issues or facts.	Legal systems using common law begin a legal case with a precedent or authority.  This previously established legal principle or rule allows the court utilization of past decisions when deciding similar issues or facts in subsequent cases.	1	QQ_c-362-s-t2-362_c-2339-s-t2-2339--0	3	simplicity
774	During this period he married, and farmed in Lyndhurst, Hampshire.	He held a farm in Lyndhurst, Hampshire and got married all during this period of time.	In the Conference Finals, the two teams in each conference play each other with the champions proceeding to the Stanley Cup Finals.	In the third round, the Conference Finals, the two remaining teams in each conference play each other, with the conference champions proceeding to the Stanley Cup Finals.	2	QQ_c-1974-s-t7-1974_s-t7-1705-c-1705--1	4	simplicity
523	157 – 69 and are regarded by some as the cultural ancestors of the Western Turks – the present-day inhabitants of Azerbaijan, Turkey, and Turkmenistan.	157 – 69 and are held by some as the cultural ancestors of the Western Turks – the present-day citizens of Azerbaijan, Turkey, and Turkmenistan.	The Sahara Pump Theory is a hypothesis that explains how flora and fauna left Africa to penetrate the Middle East and then Europe and Asia.	The Sahara Pump Theory is an idea developed by scholars that explains how various plants and wildlife left Africa in order to enter and move into first, the Middle East, and then Europe and Asia.	1	QQ_c-1226-s-t6-1226_c-2072-s-t6-2072--0	5	simplicity
258	It is 44 miles (71 km) northeast of Pittsburgh, along the east  bank of the Allegheny River.	It is situated 44 miles (71 km) northeast of Pittsburgh, along the east bank of the Allegheny River.	In 2006, he co-starred in the independent film Manhattan Minute sentence	In 2006, he co-starred in the independent film Manhattan Minute.	1	QQ_s-t2-505-c-505_s-t2-1335-c-1335--0	3	simplicity
434	Iain Grieve is a rugby union back-rower for Bristol Rugby.	Iain Grieve (born 19 February, 1987 in Jwaneng, Botswana) is a rugby union back-rower for Bristol Rugby in the Guinness Premiership.	"Fontane's first published work, the novella Geschwisterliebe (or ""Sibling Love""), appeared in the Berlin Figaro in December 1839."	"Fontane's first published work, the short novel Geschwisterliebe (or ""Sibling Love""), appeared in the Berlin Figaro in December 1839."	2	QQ_s-t5-247-c-247_c-1814-s-t5-1814--1	4	simplicity
548	2003 – 2005 In 2003, he played a villainous role in the third installment of the Spy Kids trilogy Spy Kids 3-D: Game Over which was a huge box office success (almost $ 200 million worldwide).	In 2003, he played an ecil role in the third movie of the Spy Kids trilogy Spy Kids 3-D: Game Over which was a huge box office success (almost $ 200 million worldwide).	It is mostly seen as a better grade and more classy than lad mags such as Maxim or FHM.	It is generally perceived as upscale and more sophisticated than lad mags, such as Maxim or FHM.	2	QQ_c-1587-s-t0-1587_s-t0-1884-c-1884--1	5	simplicity
194	The VC was introduced on 29 January 1856 by Queen Victoria to reward acts of valour during the Crimean War.	Queen Victoria started the VC on 29 January 1856 to reward brave actions during the Crimean War.	Wilson settled in the district in late 1836 with his wife and family.	Wilson made a home in the district in late 1836 with his wife and family.	1	QQ_c-2137-s-t1-2137_c-1324-s-t1-1324--0	3	simplicity
64	Oliver Rolf Kahn (born 15 June 1969 in Karlsruhe) is a former German football goalkeeper.	Oliver Rolf Kahn (born 15 June 1969 in Karlsruhe) is a ex- German football goalkeeper.	The 1992 Winter Games was the last to be performed in the same year as the Summer Games.	The 1992 Winter Games were the last to be staged in the same year as the Summer Games.	2	QQ_c-1615-s-t2-1615_s-t2-1690-c-1690--1	4	simplicity
304	Frederick had a summer residence built there for Sophie Charlotte by the architect Johann Arnold Nering between 1695 and 1699.	Frederick had  a summer shelter there for Shophie Charlotte. It was constructed by the architect Johann Arnold Nering between 1695 and 1699.	In 1824, Van Diemen's Land colonized.	In 1824, Van Diemen's Land became a colony in its own right.	2	QQ_c-1035-s-t2-1035_s-t2-597-c-597--1	3	simplicity
494	A medical emergency is an injury or illness that is severe enough that a person's life or long term health is put at risk right away.	A medical emergency is an injury or illness that is acute and poses an immediate risk to a person's life or long term health.	Armageddon (2008) was a professional wrestling pay-per-view (PPV) event produced by the World Wrestling Entertainment (WWE) promotion, which took place on December 14, 2008 at the HSBC Arena in Buffalo, New York.	Armageddon was a professional wrestling pay-per-view event produced by the World Wrestling Entertainment promotion taken place on December 14 2008.	2	QQ_s-t2-868-c-868_c-1739-s-t2-1739--1	3	simplicity
298	The adoption success rate was great.	The adoption success rate was outstanding.	Phil Downing left the band in 2006 because he did not get along with the other members.	In 2006, Phil Downing left the band, citing communication problems with other members.	1	QQ_s-t0-987-c-987_s-t0-1569-c-1569--0	4	simplicity
762	"Captain Feathersword Captain Feathersword, ""the friendly pirate"", wears a hat, patch, and puffy shirt and wields a ""feathery saber""."	"Captain Feathersword Captain Featherwsorn, ""the friendly pirate"", wears a hat, patch, and puffy shirt and holds a ""feathery sword""."	A video game publisher is a company that publishes video games that they have either developed internally or have had developed by a video game developer.	A video game publisher is a company that puts out video games that they have either made themselves or have had them made by a video game developer.	1	QQ_c-1777-s-t1-1777_c-1618-s-t1-1618--0	5	simplicity
270	Soon after, he released a cover version of Leo Sayer's When I Need You as a single, which reached number 5 in the British charts, as well as a follow up single called No Matter What I Do, which reached number 23.	Afterwards he released a single cover of Leo Sayer's When I Need You, reaching number 5 in the British Charts, followed by No Matter What I do, reaching number 23.	Before 1980, a section of the Commonwealth Railways Central Australian line passed along the western side of the Simpson Desert.	A section of the Commonwealth Railways Central Australian line passed along the western side of the Simpson Desert before 1980.	1	QQ_c-595-s-t6-595_c-325-s-t6-325--0	4	simplicity
629	Below are some useful links to make your involvement easier.	Below are some useful links to facilitate your involvement.	The marriage was not entirely happy although it inspired some of Moeran's masterpieces, the Cello Concerto and Cello Sonata.	The marriage was not totally happy although it helped create some of Moeran's masterpieces, the Cello Concerto and Cello Sonata.	2	QQ_s-t3-142-c-142_c-1016-s-t3-1016--1	4	simplicity
600	They were responsible for ensuring that people had many children and that the land produced plentiful crops.	Their job was to make sure that people had many children and that the land produced enough crops.	George Frideric Handel also served as Kapellmeister for George, Elector of Hanover (who eventually became George I of Great Britain).	George Frideric Handel also was director of music for George, Elector of Hanover (who in time became George I of Great Britain).	1	QQ_c-2101-s-t4-2101_c-89-s-t4-89--0	5	simplicity
799	Before the dominance of recorded music, concerts would be the only opportunity one would generally have to hear musicians play.	Before the popularity of recorded music, concerts were the only way people could hear musicians play.	this stadium used mostly for football matches	It is currently used mostly for football matches and is the home stadium of Union Sportive du Foyer de la Régie Abidjan-Niger.	2	QQ_c-2222-s-t7-2222_s-t7-695-c-695--1	5	simplicity
165	There are fewer Western expatriates than in the larger centers of Abu Dhabi and Dubai.	There are less Western expatriates than in the larger centers of Abu Dhabi and Dubai.	The population of this ward in 2001 was 16,800 people in 5,700 households.	The number of people in this ward in 2001 was 16,800 people in 5,700 houses.	1	QQ_c-1404-s-t7-1404_c-1174-s-t7-1174--0	4	simplicity
156	History Birth of the Furby Dave Hampton and Caleb Chung created the Furby in merely nine months (in addition to an additional nine months spent designing the toy).	Dave Hampton and Caleb Chung created the Furby in merely nine months.	Mammary intercourse can also be combined with fellatio.	Mammal sex can also include oral sex.	1	QQ_c-1315-s-t6-1315_c-1754-s-t6-1754--0	3	simplicity
484	However, Twofish has seen less widespread usage than Blowfish, which has been available for a longer period of time.	Twofish is used les than Blowfish, which is older.	"Cognition is the scientific term for ""the process of thought""."	"Cognition is a term used in science for ""the process of thought""."	1	QQ_c-758-s-t0-758_c-2347-s-t0-2347--0	3	simplicity
637	In April 1862, Ben was arrested on the orders of Police Inspector Sir Frederick Pottinger for participating in an armed robbery whilst in the company of Frank Gardiner.	n April 1862, Ben was arrested on the orders of Police Inspector Sir Frederick Pottinger for being a part of an armed robbery when in the company of Frank Gardiner.	You may add a passage of up to five words as a Front-Cover Text, and a passage of up to 25 words as a Back-Cover Text, to the end of the list of Cover Texts in the Modified Version.	a passage of up to five words as a Front-Cover Text, passage of up to 25 words as a Back-Cover Text, in the Modified Version.	1	QQ_c-293-s-t5-293_c-166-s-t5-166--0	4	simplicity
418	Christmas has a story taken from the Bible. It is mentioned in the Gospel of Matthew. The story is particularly from the Gospel of Luke.	The story of Christmas is based on the biblical accounts given in the Gospel of Matthew, namely - and the Gospel of Luke, specifically -.	Prevalence In the United States, according to Business magazine, an estimated 15 million functionally illiterate adults held jobs at the beginning of the 21st century.	As estimated 15 million illiterate adults held jobs at the beginning of the 21st century.	2	QQ_s-t5-58-c-58_c-2042-s-t5-2042--1	5	simplicity
242	Out of 16,421 participants in the national casting, she was chosen among the 15 candidates to appear on the TV show.	She was among the 15 candidates chosen to appear on the TV show after being in a national casting with 16,421 participants.	It formed on July 19 from a trough of low pressure off the Southeast U.S. Coast.	It formed on July 19 from a trough of low pressure of the U.S. Coast.	1	QQ_c-343-s-t4-343_c-885-s-t4-885--0	4	simplicity
698	A computer should not generate a valid signature for someone who does not own a private key.	Secondly, it should be computationally infeasible to generate a valid signature for a party who does not possess the private key.	This volcano is known for its ash and lava flows.	This volcano is well known for its ash explosions and pyroclastic flows.	1	QQ_s-t2-951-c-951_s-t2-1583-c-1583--0	5	simplicity
547	By early the next day, the remnants of Gabrielle were absorbed by an approaching cold front.	By early the next day, what was left of Gabrielle became part of a cold front that was moving in.	It has a stopper at the top and stopcock or tap at the bottom.	It has a stopper at the top and stopcock (tap), at the bottom.	2	QQ_c-1585-s-t4-1585_s-t4-1605-c-1605--1	3	simplicity
259	At least 537 deaths were blamed on Hanna, especially in Haiti.	At least 537 deaths were blamed on Hanna, primarily in Haiti.	The northern area of Upper Egypt, between El-Ayait and Sohag, is sometimes called Middke Egypt.	The northern section of Upper Egypt, between El-Ayait and Sohag is sometimes known as Middle Egypt.	1	QQ_s-t0-510-c-510_s-t0-732-c-732--0	3	simplicity
308	Background Chuck Norris Facts first started showing up on the Internet in early 2005.	Background Chuck Norris Facts originally started appearing on the Internet in early 2005.	In 1961 he was voted into the Hall of Fame on the first ballot.	Voted into Hall of Fame on first ballot in 1961.	1	QQ_s-t1-1087-c-1087_s-t1-1251-c-1251--0	3	simplicity
71	For that year the Festival was moved to other local venues but by the next year the hall had been rebuilt and again was opened by the Queen.	For that year the Festival was moved to other local venues but by the following year the hall had been rebuilt and once again it was opened by the Queen, this time at the start of the 1970 festival.	It is probably a primitive body composed of carbonates.	1. It is probably a primitive body made of carbonates.	2	QQ_s-t1-1741-c-1741_c-396-s-t1-396--1	5	simplicity
666	It was an an unimportant race in 1996, but because of the fast growing popularity of cycling in Germany, it was made a part of the UCI Road World Cup in 1998	It started as an unimportant race in 1996, but because of the fast growing popularity of cycling in Germany, it was made a part of the UCI Road World Cup in 1998.	Many new anchor designs have been made in the past 20 years or so.	In the past 20 years or so, many new anchor designs have appeared.	1	QQ_s-t2-567-c-567_s-t2-849-c-849--0	4	simplicity
42	The fort held a well-known/obvious position and was located high above sea level with strategic views to the entrance (Sydney Heads) of Port Jackson.	The fort held a prominent position and was located high above sea level with strategic views to the entrance (Sydney Heads) of Port Jackson.	Pittsburg is a city located in Camp County, Texas.	Pittsburg is a city in Camp County, Texas.	2	QQ_s-t5-1076-c-1076_c-1728-s-t5-1728--1	3	simplicity
171	One of the world's great fossil discoveries was found at the Fossils Canowindra site.	Fossils Canowindra is the site of one of the world's great fossil discoveries.	The body color varies from medium brown to gold-ish to beige-white; and occasionally, is marked with dark brown spots, especially on the limbs.	The body color differs from medium brown to gold-ish to beige-white; and sometimes, is marked with dark brown spots, especially on the arms and legs.	2	QQ_s-t6-1508-c-1508_c-302-s-t6-302--1	4	simplicity
643	The last mentioned tool or method can then be designed and used in less tough environments.	The latter device can then be designed and used in less stringent environments.	However, Twofish has seen less widespread usage than Blowfish, which has been available for a longer period of time.	Twofish has been used less than Blowfish.  Blowfish has been around a lot longer.	2	QQ_s-t5-345-c-345_c-758-s-t5-758--1	4	simplicity
707	The centrepiece is Cathedral Cave with the massive Altar Rock.	The centerpiece is Cathedral Cave with the huge Altar Rock.	He traveled over 200,000 miles which was a great feat in the pre-aviation era.	He traveled over 200,000 miles, an incredible achievement for pre-aviation times.	2	QQ_c-1013-s-t0-1013_s-t0-843-c-843--1	3	simplicity
781	It is often used in cooking and pottery.	It is most commonly used in cooking and pottery.	The sixth, seventh, and eighth digits indicate the municipality or the number of the unincorporated area.	The sixth, seventh, and eighth numbers show the muncipality or the number of the unincluded area.	2	QQ_s-t4-2043-c-2043_c-1334-s-t4-1334--1	3	simplicity
67	The Post Office was formed on May 24, 1897, and took its name from Koweta Mission.	The Post Office was established on May 24, 1897, and took its name from Koweta Mission.	He is credited with introducing skenographia or scene-decoration.	He is sometimes credited with introducing skenographia, or scene-decorationAccording to Vitruvius.	1	QQ_s-t6-1695-c-1695_s-t6-738-c-738--0	3	simplicity
310	When the Reichstag met in September 1932, its only act was to pass a big vote of no-confidence in Papen ’ s rule.	When the Reichstag convened in September 1932, its first and only act was to pass a massive vote of no-confidence in Papen ’ s government.	Demographics The population of the city is now largely made up of the descendants of laborers who were hired for labor from India in the 19th century.	The city's population is made up of the descendants from India in the 19th century.	2	QQ_s-t5-1107-c-1107_c-2014-s-t5-2014--1	4	simplicity
2	Oregano is a not replaceable part in Greek cuisine.	Oregano is an indispensable ingredient in Greek cuisine.	This book by itself is out of print having been published along with nine short stories in the collection The Worthing Saga (1990).	This book alone is no longer available having been published together with nine short stories in the collection The Worthing Saga (1990).	2	QQ_s-t5-92-c-92_c-423-s-t5-423--1	3	simplicity
9	Events Europe July 29 — Battle of Stiklestad (Norway): Olav Haraldsson loses to his pagan vassals and is killed in the battle.	1. Events Europe July 29: In the Battle of Stiklestad (Norway),Olav Haraldsson was killed on his loss with his pagan vassals	It started as an unimportant race in 1996, but because of the fast growing popularity of cycling in Germany, it was made a part of the UCI Road World Cup in 1998.	It was an an unimportant race in 1996, but because of the fast growing popularity of cycling in Germany, it was made a part of the UCI Road World Cup in 1998	1	QQ_c-260-s-t2-260_c-567-s-t2-567--0	3	simplicity
